,time,site
35662,2020-02-04,ukk2205-20970
45686,2020-08-07,ukk3106-27600
94423,2021-09-11,ukj3400-17500
28686,2022-07-05,ukh1305-10200
46231,2020-08-17,ukk2205-21300
23451,2022-02-05,ukh1303-10500
79954,2022-09-15,ukh1406-11000
10946,2020-12-24,ukh1303-10650
80184,2022-09-18,ukj3400-18300
2544,2020-04-09,uke1200-08000
108921,2022-11-25,ukk3105-30750
106468,2022-04-29,ukk3102-32000
97820,2022-03-15,ukk4301-22100
18469,2021-08-04,ukh1305-10150
71284,2022-04-14,ukk4305-25500
1667,2020-03-23,ukc2101-04250
23674,2022-02-21,ukd4303-41900
83004,2022-11-15,ukc2102-03700
41001,2020-05-18,ukh1303-10600
96432,2021-12-05,ukd1103-45920
22063,2021-11-17,ukk2102-19350
57773,2021-05-28,ukh3100-11780
74865,2022-06-23,ukd4200-42100
54189,2021-04-02,ukk3104-32550
110770,2021-01-01,ukk4306-22600
102875,2020-03-24,ukj4208-13300
93039,2021-06-23,uke1200-07950
8079,2020-08-15,ukk3103-29100
81970,2022-10-18,ukc1101-06000
440,2020-02-01,ukf3102-09600
47386,2020-09-08,ukj4208-13500
97704,2022-03-10,ukk4305-26100
78806,2022-08-27,ukk4301-21900
108830,2022-11-08,ukk3104-32550
62308,2021-08-14,ukk2302-35300
26821,2022-05-22,ukd5400-40900
85575,2020-03-25,ukk3101-26800
15788,2021-05-28,ukh1303-10350
13317,2021-04-04,ukc1202-06650
42313,2020-06-08,ukk4301-21600
48344,2020-09-29,ukk3105-30700
97758,2022-03-13,ukk3106-27400
89814,2020-11-25,ukd4312-42800
38268,2020-04-06,ukk2204-19600
14222,2021-04-23,ukh1304-09800
86034,2020-04-17,ukk3106-28400
61776,2021-08-07,ukk2302-35300
74768,2022-06-21,ukk3102-31800
96273,2021-11-23,ukk3106-32330
15304,2021-05-16,uke1200-08000
9580,2020-10-03,ukh1305-10310
90736,2021-02-08,ukk2305-35100
95455,2021-10-21,ukk2101-19020
16300,2021-06-06,ukk3105-31250
44293,2020-07-16,ukd4312-43000
63309,2021-09-06,ukk3102-28600
104198,2021-01-02,ukk3105-30100
58102,2021-06-01,ukk3106-27700
46809,2020-08-29,ukc1202-06500
65927,2021-10-25,ukj4210-12850
10521,2020-11-10,ukc2104-04280
20186,2021-09-20,ukj4210-12750
97113,2022-02-01,ukd4312-43000
71753,2022-04-24,ukd4200-42500
111400,2022-09-13,ukk4200-23200
44836,2020-07-26,ukk3102-31700
7476,2020-07-30,ukk1202-35700
45077,2020-07-30,ukh3306-11750
875,2020-03-02,ukc2300-05500
77212,2022-08-02,ukk3104-33300
46004,2020-08-12,ukk2206-20700
38444,2020-04-09,ukk2201-17200
106481,2022-04-29,ukk3106-32200
77400,2022-08-05,ukk3103-31500
78300,2022-08-19,ukj3308-17100
49983,2020-11-12,uke1200-08000
108107,2020-12-30,ukk4305-26200
59758,2021-06-30,ukj3400-17900
32937,2022-10-06,ukk2201-18750
55238,2021-04-18,ukj4208-13300
59930,2021-07-05,ukj2205-14200
9941,2020-10-13,ukk2201-18900
112337,2022-03-17,ukk4306-23000
5173,2020-05-31,ukc1101-06200
42727,2020-06-16,ukk4304-34410
92104,2021-04-27,ukk3101-26560
66717,2021-11-17,ukc1202-06600
45995,2020-08-12,ukk2204-20200
81229,2022-10-06,ukd5400-40800
40063,2020-05-02,ukk3106-28200
60827,2021-07-21,ukk3106-27500
5631,2020-06-13,ukc2204-05300
101010,2022-09-29,ukk3105-30700
57719,2021-05-27,ukk3103-29200
78432,2022-08-21,ukh3100-11900
97689,2022-03-10,ukk4200-23800
70632,2022-03-27,ukk2204-20000
23012,2022-01-17,ukd1101-46300
105458,2021-11-13,ukk3106-32400
59631,2021-06-28,ukk2205-20970
101508,2022-10-31,ukk2101-19100
99442,2022-06-22,ukj2402-15650
85032,2020-02-11,ukk2201-17300
21677,2021-11-02,ukf3102-09400
68369,2022-01-27,ukd4305-43550
14528,2021-04-29,ukd1101-46300
39529,2020-04-24,ukk4301-21900
1702,2020-03-24,ukf3102-09200
12736,2021-03-19,ukf3102-09700
22606,2021-12-15,ukc2102-03800
111441,2020-09-08,ukc2103-04600
49095,2020-10-13,ukk2201-17200
16587,2021-06-13,ukk2201-18750
50298,2020-11-27,ukh1303-10325
80822,2022-09-26,ukk4307-33900
72398,2022-05-04,ukk4305-26300
19363,2021-08-30,ukk3106-27900
21282,2021-10-21,ukc2104-04280
86587,2020-05-24,uke1200-07900
14308,2021-04-24,ukk2204-19700
26202,2022-05-03,ukj4210-12450
46196,2020-08-17,ukd4312-43000
105769,2022-01-14,ukk3103-29400
87338,2020-07-20,ukj3308-17000
60292,2021-07-13,ukk3105-30800
56707,2021-05-11,ukh1305-10000
18089,2021-07-23,ukk4200-23900
81614,2022-10-11,ukk4305-25500
108904,2022-11-23,ukk3104-33000
110942,2021-02-10,ukk4200-23100
60672,2021-07-20,ukc1202-06600
46033,2020-08-12,ukk3104-32900
96761,2022-01-04,ukk2305-35200
28355,2022-06-27,ukh1303-10350
68109,2022-01-17,ukk3106-27100
103670,2020-10-14,ukk3102-31800
18494,2021-08-04,ukj3400-18400
84237,2022-12-20,ukd4312-43000
70476,2022-03-25,ukd1103-45920
37175,2020-03-22,ukj3400-17700
2840,2020-04-16,uke1301-09020
74600,2022-06-15,ukk4301-22200
60733,2021-07-20,ukj4208-13600
5452,2020-06-07,ukj4204-13100
25423,2022-04-14,ukd4303-41900
100699,2022-09-16,ukk2302-35600
93443,2021-07-18,ukk4305-24800
16128,2021-06-03,uke2206-06800
82501,2022-10-31,ukk3101-26900
61693,2021-08-06,ukh3311-11300
102203,2022-12-03,ukk3102-28600
30844,2022-08-19,ukc2203-05200
1817,2020-03-25,ukk3106-32500
83952,2022-12-10,ukk2305-35200
111099,2020-07-05,ukj4208-13300
31929,2022-09-11,uke1200-08700
75734,2022-07-10,ukc1202-06600
107363,2022-11-28,ukk3106-32200
29328,2022-07-17,ukj2201-14500
16665,2021-06-15,ukf3102-09600
107703,2020-02-04,ukk3106-27100
33522,2022-10-20,ukj4210-12350
94726,2021-09-21,ukk3101-26520
15712,2021-05-24,ukk3105-31250
113175,2022-08-19,ukk4305-24700
90063,2020-12-20,ukk1202-35800
43586,2020-07-05,ukj3400-17600
73937,2022-06-06,ukk3102-31600
89972,2020-12-15,ukk4200-23200
75333,2022-07-03,ukk2101-19000
102853,2020-03-08,ukk3104-32700
49393,2020-10-25,ukh3100-11800
43720,2020-07-07,ukh3100-11850
69590,2022-03-10,ukk2205-21400
67757,2022-01-03,ukh1305-10000
9760,2020-10-08,uke1200-08700
83302,2022-11-20,ukk2204-19800
23247,2022-01-27,ukk3105-31100
106129,2022-03-10,ukk3106-32200
47021,2020-09-01,uke1200-08200
83006,2022-11-15,ukc2203-04800
58619,2021-06-08,ukk3106-28100
5393,2020-06-05,ukj3400-17700
38598,2020-04-11,ukj3304-16850
16303,2021-06-06,ukk3106-27600
54360,2021-04-04,ukk4304-34410
89905,2020-12-15,ukc1404-05700
106738,2022-08-29,ukk4200-24600
56868,2021-05-13,ukh1406-11000
73133,2022-05-24,ukc1202-06600
89452,2020-11-05,ukk2101-19050
5436,2020-06-07,ukh3311-11100
21608,2021-10-31,ukc2104-04280
92815,2021-06-07,ukh3100-11850
108498,2022-01-14,ukk3103-29500
42186,2020-06-07,ukj4210-12850
95967,2021-11-10,ukk3104-33650
55881,2021-04-27,ukk3102-31800
1618,2020-03-22,ukh1305-10310
73443,2022-05-29,ukk3101-26570
41481,2020-05-26,ukc1101-06000
9042,2020-09-15,ukh3100-11830
38419,2020-04-09,ukd4200-42600
99505,2022-06-27,ukj2203-14600
34277,2022-11-20,ukk2205-21500
53471,2021-03-20,uke2206-06900
46247,2020-08-17,ukk3102-28700
94639,2021-09-18,ukj3308-17000
60545,2021-07-18,ukd4312-42800
13172,2021-03-29,ukj2201-14500
55003,2021-04-14,ukk4200-23300
93624,2021-07-28,ukk4301-22000
62896,2021-08-30,ukd4200-42600
60729,2021-07-20,ukj3400-17900
20073,2021-09-18,ukh1407-10800
110281,2022-12-27,ukj4210-12350
59465,2021-06-25,ukj3400-17400
104381,2021-02-08,ukk3106-32200
100113,2022-08-12,ukk2302-35600
34549,2022-12-07,uke1200-08700
103336,2020-09-09,ukk3106-32400
82694,2022-11-08,ukk3103-31500
66098,2021-10-30,ukh3311-11350
20641,2021-10-03,ukh1407-10750
78415,2022-08-20,ukk4304-34400
1410,2020-03-17,ukj2202-14100
22524,2021-12-09,ukh1303-10500
1020,2020-03-04,ukj4208-13800
84366,2022-12-27,ukc2203-04800
78198,2022-08-17,ukk3104-33650
86714,2020-06-01,ukd5300-41300
75089,2022-06-27,ukj2205-14200
30804,2022-08-17,ukk3105-31300
207,2020-01-15,ukk4200-24200
6980,2020-07-16,ukk3106-32300
93550,2021-07-23,ukk4200-23200
112245,2020-07-06,ukk3101-26520
80039,2022-09-16,ukk2205-21300
94579,2021-09-16,ukk3101-26800
27762,2022-06-12,ukj2204-14000
688,2020-02-13,ukh1303-10350
71383,2022-04-16,ukk2206-20700
983,2020-03-03,ukk4304-34800
82898,2022-11-12,ukh3311-11500
17673,2021-07-15,ukj3400-18500
496,2020-02-04,uke2206-07500
62179,2021-08-12,ukk3106-28100
27378,2022-06-05,ukc2203-05000
97929,2022-03-20,ukk3104-33700
35362,2020-01-19,ukj4210-12400
62651,2021-08-27,ukd1102-44200
25435,2022-04-14,uke2206-07700
105807,2022-01-17,ukk3104-33400
52511,2021-02-26,ukk3106-27800
37958,2020-04-02,ukk3102-28500
45579,2020-08-07,ukc2203-05000
75713,2022-07-08,ukk4304-34000
35289,2020-01-15,ukk4306-22400
17353,2021-07-05,ukf3102-09600
35470,2020-01-27,uke1200-08600
48288,2020-09-28,ukh1304-09850
88588,2020-09-24,ukk3104-33700
88986,2020-10-09,ukk3104-33700
14284,2021-04-24,ukc2300-05500
102417,2022-12-15,ukk3103-29900
112322,2021-11-02,ukk4306-22900
35346,2020-01-19,ukj2100-14900
84387,2022-12-27,ukh1304-09850
33743,2022-10-31,ukd5400-40900
91423,2021-03-22,ukj2204-13900
79033,2022-08-31,ukj4210-12500
55124,2021-04-16,ukk2302-35500
73090,2022-05-22,ukk3103-28900
17450,2021-07-07,ukj2201-14400
23097,2022-01-19,ukd1103-45600
34455,2022-11-29,ukj2205-14300
50312,2020-11-27,ukh3311-11300
79973,2022-09-15,ukj4208-13300
93958,2021-08-14,ukj3400-18600
26678,2022-05-19,ukc2104-04300
42320,2020-06-08,ukk4304-34410
45756,2020-08-09,ukh3100-11902
76806,2022-07-28,uke1200-08200
39755,2020-04-28,ukj4210-12630
96871,2022-01-14,ukk2206-20500
32503,2022-09-24,ukk4304-34600
45765,2020-08-09,ukj2100-14800
62183,2021-08-12,ukk3106-32200
93650,2021-07-30,ukk1202-35800
100611,2022-09-11,ukk4304-34200
67380,2021-12-05,ukk1202-35900
87333,2020-07-20,ukj2402-15650
72526,2022-05-12,ukk3102-28800
98057,2022-03-25,ukk3105-31300
19005,2021-08-22,ukk1202-35700
8925,2020-09-10,ukj4210-12700
100154,2022-08-14,ukk2101-19150
89524,2020-11-09,ukh3100-11770
62821,2021-08-29,ukh3311-11350
19158,2021-08-25,ukk3105-31400
98513,2022-04-21,ukk2101-19060
59377,2021-06-23,ukk3103-31500
34958,2022-12-29,ukh1305-10310
64469,2021-09-26,ukk2302-35500
71156,2022-04-11,ukk2205-21200
4937,2020-05-26,ukj2202-14100
66682,2021-11-14,ukh1303-10400
87162,2020-07-10,ukk1202-35800
73882,2022-06-05,ukk2101-19000
90048,2020-12-20,ukc2300-05500
91774,2021-04-12,ukk3101-26560
15549,2021-05-19,ukk4304-34450
45239,2020-08-01,ukh3306-11750
85316,2020-03-05,ukk3106-28400
81204,2022-10-05,ukj4210-12850
33431,2022-10-18,ukh1303-10500
22564,2021-12-12,ukf3102-09700
8069,2020-08-15,ukd1101-46000
23236,2022-01-27,ukd1101-46000
94492,2021-09-13,ukj3304-16850
87968,2020-08-29,ukk4301-21600
38437,2020-04-09,ukk1202-35900
8490,2020-08-29,uke2206-07000
80285,2022-09-19,ukk3106-32150
15160,2021-05-13,ukh1304-09900
528,2020-02-06,ukc1404-05700
68760,2022-02-10,ukh3311-11500
17639,2021-07-13,ukk4305-24900
70257,2022-03-20,ukk4301-22200
27316,2022-06-03,uke2206-07500
78495,2022-08-24,ukh3311-11500
87608,2020-08-07,ukk2101-19150
26293,2022-05-04,ukk4305-24900
83131,2022-11-17,ukj2402-15650
85821,2020-04-06,ukj3307-16350
95251,2021-10-11,ukk3102-31900
48716,2020-10-06,ukk2206-20400
64848,2021-10-04,ukd4312-43000
81199,2022-10-05,ukj4210-12400
102475,2022-12-17,ukk2204-20100
62832,2021-08-29,ukj2402-15600
48521,2020-10-03,ukj2100-14900
13841,2021-04-14,ukk4200-24200
104958,2021-09-08,uke1301-09000
5717,2020-06-15,ukc2203-05000
626,2020-02-11,ukh1407-10800
27013,2022-05-28,ukj4202-12100
79608,2022-09-09,ukk3106-27600
31840,2022-09-09,ukk3105-30500
79332,2022-09-06,ukd4305-43550
20005,2021-09-16,ukk2102-19350
6429,2020-07-01,ukc2102-03800
16532,2021-06-12,ukj4208-13500
54426,2021-04-06,ukj3100-16600
109274,2021-08-10,ukc2104-04300
53718,2021-03-24,ukj4210-12300
10070,2020-10-16,ukk4200-24500
37077,2020-03-20,ukk3105-31200
43991,2020-07-10,ukk2204-20200
24668,2022-03-19,ukj4208-13500
84203,2022-12-17,ukk2205-21100
48226,2020-09-26,ukk3101-26700
806,2020-02-27,ukk3105-30500
84174,2022-12-17,ukj3304-16850
109224,2021-02-08,ukk3104-32600
72617,2022-05-14,ukc1202-06500
15922,2021-05-31,ukc1101-06200
60055,2021-07-08,ukd1103-45600
30000,2022-08-02,ukd5400-40900
74925,2022-06-23,ukk3102-31600
79671,2022-09-11,ukc2102-03900
74570,2022-06-15,ukk2101-19050
97846,2022-03-17,ukj3307-16350
59651,2021-06-28,ukk3102-28500
109643,2022-02-03,ukk4305-24700
56499,2021-05-06,ukh3100-11780
79438,2022-09-06,ukk4304-34500
58729,2021-06-12,ukh1303-10325
103849,2020-11-10,ukk3101-26560
23254,2022-01-31,uke1200-08900
7021,2020-07-17,ukj4208-13800
106996,2022-10-24,ukk3102-28550
14813,2021-05-04,ukk3101-26520
16869,2021-06-21,ukd4303-41900
92135,2021-04-29,uke1200-07950
105707,2022-01-04,ukk3103-29400
7327,2020-07-26,ukk3106-32300
70270,2022-03-20,ukk4306-22400
81741,2022-10-14,ukk3101-26700
90596,2021-01-29,ukk3104-33350
29608,2022-07-22,ukh1407-10850
32673,2022-09-28,ukh3311-11550
10356,2020-11-03,ukd4303-41900
22317,2021-11-29,ukf3102-09600
68499,2022-02-02,ukj4208-13700
68348,2022-01-22,ukk3106-27600
52521,2021-02-26,ukk4304-34410
30628,2022-08-12,ukk4200-24300
11043,2020-12-30,ukd1101-46000
55606,2021-04-23,ukj4210-12600
40503,2020-05-09,ukk2102-19170
89384,2020-11-03,ukd5300-41300
65568,2021-10-16,ukk3104-33650
84876,2020-02-01,ukj2203-14600
34938,2022-12-27,ukj4209-12000
20803,2021-10-06,ukk3104-32900
9650,2020-10-05,ukh1303-10650
54221,2021-04-02,ukk3106-32310
33845,2022-11-03,ukk3105-30500
31262,2022-08-27,ukk3104-32900
37877,2020-04-01,ukj2201-14550
109104,2020-09-08,ukk4306-22400
39405,2020-04-24,ukc2102-03700
27347,2022-06-03,ukk3106-27400
40596,2020-05-09,ukk4301-22200
50065,2020-11-13,ukd4305-43550
83415,2022-11-23,ukk3106-32310
25219,2022-04-07,ukd4303-41900
36067,2020-02-27,ukk4304-34000
36056,2020-02-27,ukk3102-28700
19549,2021-09-03,ukj4209-11975
49287,2020-10-16,ukk3105-30750
49834,2020-11-07,ukh3311-11350
91741,2021-04-11,uke1200-07900
11306,2021-01-22,ukc2102-03700
85501,2020-03-22,ukh3100-11900
33530,2022-10-23,ukc1202-06650
79856,2022-09-13,ukk2204-19600
101311,2022-10-16,ukk3101-26570
39523,2020-04-24,ukk4200-23100
11309,2021-01-22,ukc2104-04280
97035,2022-01-21,ukk2205-20970
62009,2021-08-10,ukk3104-33700
75147,2022-06-30,ukk2101-19160
64875,2021-10-04,ukk3105-31350
12055,2021-02-25,ukc2204-05300
17892,2021-07-20,ukh1407-10800
28048,2022-06-20,ukf3102-09600
37381,2020-03-25,ukk2204-20000
64353,2021-09-24,ukk3104-33650
101597,2022-11-08,ukc2102-03900
105749,2022-01-12,ukk3105-30100
97933,2022-03-20,ukk3105-31400
57004,2021-05-14,ukk3106-27700
59737,2021-06-30,uke1200-08300
15165,2021-05-13,ukh1305-10310
37395,2020-03-25,ukk2206-20900
283,2020-01-20,ukc2102-03600
55039,2021-04-16,uke1200-08300
50225,2020-11-25,ukd4305-43260
90094,2020-12-20,ukk3105-30700
70084,2022-03-18,ukk3103-29800
6312,2020-06-27,ukj4204-13100
83085,2022-11-15,ukk4200-24500
37976,2020-04-02,ukk3104-32550
21884,2021-11-09,ukj4210-12450
92092,2021-04-26,ukk2101-19050
104759,2021-05-24,ukk4304-34400
57059,2021-05-16,ukh1303-10325
89789,2020-11-15,ukk4305-25900
49677,2020-11-03,ukk3105-31000
13035,2021-03-25,ukk2305-34900
10953,2020-12-24,ukh1305-10310
86626,2020-05-26,ukj3305-16800
85711,2020-04-01,ukj2203-14600
47993,2020-09-21,ukc1101-06000
88653,2020-09-26,ukk4200-23200
34415,2022-11-28,ukd4303-41900
103509,2020-09-29,ukk3104-33400
63518,2021-09-11,ukd4200-42600
86606,2020-05-24,ukk4200-23700
110272,2022-10-06,ukj3400-17600
107998,2020-11-15,ukk3103-29400
72687,2022-05-14,ukk3102-31600
31337,2022-08-29,ukh1305-10125
9038,2020-09-15,ukh1407-10750
52353,2021-02-23,ukk3106-32320
17679,2021-07-15,ukk2204-19800
72183,2022-05-02,ukk3102-28800
30627,2022-08-12,ukk4200-24200
54336,2021-04-04,ukk3106-27800
25407,2022-04-14,ukc2102-03800
47157,2020-09-04,ukk3106-27700
109110,2020-09-14,ukk3104-32600
41653,2020-05-27,ukk3106-32400
39272,2020-04-21,ukk2206-20800
25657,2022-04-19,ukk4200-23400
81196,2022-10-05,ukj4208-13600
90727,2021-02-08,ukk2101-19100
22673,2021-12-17,ukk2201-18750
55000,2021-04-14,ukk3106-32340
34475,2022-11-30,ukc1404-05800
46438,2020-08-22,ukk3102-31600
2474,2020-04-08,ukh1303-10350
99985,2022-08-04,ukj3100-16500
112490,2020-10-03,ukk4200-23100
1207,2020-03-12,ukc2203-05200
72890,2022-05-19,ukk2101-19160
80554,2022-09-23,ukk2205-21000
110497,2021-10-23,ukk4305-24700
14802,2021-05-04,ukk2101-19100
2238,2020-04-03,ukj2201-14500
82213,2022-10-24,ukk3102-31650
64119,2021-09-21,ukd4305-43260
3741,2020-05-03,ukh1304-09900
104241,2021-01-12,ukk3104-33700
65371,2021-10-13,ukk2101-19000
36447,2020-03-05,ukk3102-31650
31367,2022-08-29,ukj3400-18100
73287,2022-05-27,ukk3102-28500
108096,2020-12-30,ukk3103-29400
48359,2020-09-29,ukk4304-34450
70141,2022-03-19,ukj2402-15700
113334,2021-09-29,ukk3101-26530
9358,2020-09-26,ukc1202-06400
76625,2022-07-21,ukk4304-34300
43293,2020-06-28,uke2206-07400
69850,2022-03-15,ukc2203-04900
24465,2022-03-15,ukc2204-05300
84433,2022-12-27,ukk1202-35900
104882,2021-08-12,uke1301-09000
102077,2022-11-25,ukk4305-24700
7622,2020-08-02,ukk4200-23900
35561,2020-01-29,ukh3306-11750
79461,2022-09-08,uke1200-08200
83194,2022-11-18,ukk3103-28900
68328,2022-01-22,ukd4312-42800
7679,2020-08-04,ukj2204-14000
89199,2020-10-16,ukk3106-27100
44660,2020-07-21,ukd1102-44200
36371,2020-03-04,ukj4210-12850
12331,2021-03-05,ukk4307-33800
102611,2022-12-29,ukh3100-11900
105201,2021-10-11,ukk3103-29500
94235,2021-09-01,ukk4200-23200
69255,2022-03-05,ukj3308-17100
88175,2020-09-06,ukk4305-25700
55730,2021-04-24,ukk4200-23501
106383,2022-04-19,ukk3104-32750
43120,2020-06-23,ukk4305-25400
47749,2020-09-16,ukk2206-20800
16041,2021-06-01,ukk3106-32100
67071,2021-11-23,ukk3106-27900
91781,2021-04-12,ukk3103-29501
47035,2020-09-01,ukk2102-19170
81275,2022-10-06,ukk3102-28500
53591,2021-03-22,ukc2203-04800
43170,2020-06-25,ukj2201-14550
104504,2021-02-26,ukk3105-30100
19121,2021-08-24,ukj4209-11950
23358,2022-02-02,ukj4210-12450
43765,2020-07-08,ukd1101-46100
62273,2021-08-14,ukj3400-17900
15919,2021-05-29,ukk4306-22900
12698,2021-03-17,ukh3311-11550
10022,2020-10-16,ukc2101-04200
71089,2022-04-09,ukk4305-25100
101498,2022-10-31,ukd4312-43000
23392,2022-02-03,uke1200-08000
66683,2021-11-14,ukh1303-10600
107560,2022-12-15,ukk4305-26100
96074,2021-11-17,ukj3307-16400
47770,2020-09-16,ukk3105-30300
51671,2021-02-05,ukh3100-11902
68910,2022-02-22,ukh3311-11700
80191,2022-09-18,ukk1202-35900
61534,2021-08-02,ukk3105-30800
101073,2022-10-01,ukk4305-25700
35964,2020-02-26,uke2206-07300
29155,2022-07-13,ukk4301-22000
7611,2020-08-02,ukk3103-29000
68470,2022-02-01,ukk4307-33900
19607,2021-09-06,ukc1202-06650
51901,2021-02-08,ukk4306-22400
74395,2022-06-13,ukj3308-17100
76823,2022-07-28,ukk2102-19450
7463,2020-07-30,ukj3400-18300
23950,2022-03-04,ukh1305-10125
16735,2021-06-18,ukc2102-03800
50551,2020-12-20,ukc2300-05600
105506,2021-11-22,ukj3307-16350
5986,2020-06-20,ukk4301-22000
83922,2022-12-10,uke2206-07000
102476,2022-12-17,ukk2204-20200
66440,2021-11-05,uke2206-07200
42644,2020-06-15,ukk2302-35300
16316,2021-06-07,ukf3102-09400
10149,2020-10-23,ukj4209-11975
20615,2021-10-03,ukc2204-05400
22717,2021-12-28,ukd5400-40900
38847,2020-04-16,ukh1304-09850
16091,2021-06-02,ukj4210-12750
18385,2021-08-02,uke2206-07500
82465,2022-10-31,uke2206-07400
21628,2021-10-31,uke2206-07700
89404,2020-11-03,ukk3106-27400
8067,2020-08-15,ukc2102-03900
26846,2022-05-22,ukk4307-33800
42691,2020-06-16,ukk3103-31500
45380,2020-08-02,ukk3105-31300
108804,2022-10-11,ukk4100-26400
42006,2020-06-01,ukk3105-31350
33606,2022-10-25,ukh1304-09900
28482,2022-07-01,ukk3105-31200
13851,2021-04-14,ukk4306-22600
76318,2022-07-18,ukc2300-05600
1544,2020-03-20,ukk3101-26530
81124,2022-10-01,ukk3105-30300
58505,2021-06-07,ukj4210-12500
98918,2022-05-16,ukk2101-19020
66287,2021-11-02,ukj2201-14550
81952,2022-10-16,ukk4301-21900
48013,2020-09-21,ukd5300-41500
83190,2022-11-18,ukd5300-41500
77063,2022-07-31,ukk3106-32310
209,2020-01-15,ukk4301-22000
6921,2020-07-13,ukk2102-19400
26753,2022-05-19,ukk4307-33800
1877,2020-03-27,ukh1406-10900
9777,2020-10-08,ukk2201-18900
76094,2022-07-15,ukc1202-06600
55158,2021-04-17,ukk3103-28900
35738,2020-02-06,ukh3311-11350
71101,2022-04-11,ukc1101-06100
104011,2020-11-25,ukk4305-25300
45727,2020-08-09,ukc1202-06600
13396,2021-04-04,ukk4306-22500
92748,2021-06-03,ukk3104-33700
37106,2020-03-20,ukk4305-25000
73005,2022-05-21,uke2206-07300
79187,2022-09-03,ukh3100-11780
106719,2022-07-28,ukk3104-32600
86515,2020-05-17,ukk4304-34100
101654,2022-11-10,ukk2101-19020
20071,2021-09-18,ukh1406-10900
111854,2020-12-17,ukc2103-04600
10754,2020-12-04,ukh1304-09800
4655,2020-05-21,uke1301-09000
48493,2020-10-03,uke1200-08300
41039,2020-05-18,ukj4210-12600
45065,2020-07-30,ukh1303-10400
50030,2020-11-12,ukj3400-18200
77764,2022-08-10,ukk3103-29900
50755,2020-12-27,ukj4210-12300
66404,2021-11-04,ukj4210-12400
55429,2021-04-21,ukh3311-11700
19585,2021-09-05,ukj2201-14500
60491,2021-07-17,ukh3100-11902
38855,2020-04-16,ukh3100-11904
944,2020-03-02,ukk2204-19800
50272,2020-11-25,ukk3105-31000
47441,2020-09-09,ukk3102-28500
22774,2022-01-04,ukc1202-06300
54771,2021-04-12,ukd1103-44800
101018,2022-09-29,ukk4304-34300
65703,2021-10-21,ukk2206-20900
11816,2021-02-11,ukc2102-03700
90769,2021-02-08,ukk4305-25300
60919,2021-07-23,uke2206-07600
56548,2021-05-06,ukk2201-18800
23039,2022-01-18,ukh1305-10125
92045,2021-04-24,ukk3101-27000
21132,2021-10-15,ukh1407-10850
47584,2020-09-13,ukk2204-19600
35190,2020-01-12,ukk2205-21300
38031,2020-04-03,ukh3311-11500
30841,2022-08-19,ukc1404-05900
65630,2021-10-20,ukh3311-11650
34880,2022-12-24,ukj4210-12450
64154,2021-09-21,ukk2206-20500
71736,2022-04-24,ukc1101-06100
89208,2020-10-16,ukk4200-23800
1893,2020-03-27,ukj3305-16700
15864,2021-05-29,uke2206-07100
67286,2021-12-02,ukk2102-19170
111107,2020-09-08,ukk4306-22600
3911,2020-05-06,ukh1303-10350
22004,2021-11-14,ukj4210-12660
113127,2021-08-14,ukk4306-22900
21851,2021-11-09,ukf3102-09700
21856,2021-11-09,ukh1304-09900
65320,2021-10-13,uke2206-07400
67183,2021-11-29,ukh1304-09850
108907,2022-11-23,ukk3106-32400
111132,2021-07-30,ukk4306-22600
61252,2021-07-30,ukc1202-06600
32076,2022-09-15,ukj4202-12120
107783,2020-05-24,ukj3400-17500
91280,2021-03-14,ukj2203-14600
14007,2021-04-18,ukj4209-11975
111189,2022-10-18,ukk4200-23600
26580,2022-05-16,ukc2300-05500
103045,2020-07-08,ukk3104-33600
110613,2020-10-13,ukk4200-23400
41892,2020-05-31,ukj2401-15300
4543,2020-05-19,ukc1404-05700
80786,2022-09-26,ukk3106-27100
27129,2022-05-31,ukc1404-05900
37387,2020-03-25,ukk2205-21200
84804,2020-01-20,ukk4305-25300
54278,2021-04-04,ukk2204-20000
326,2020-01-27,ukc1101-06200
111145,2021-10-03,ukk4306-22600
40671,2020-05-12,ukk3103-29500
57667,2021-05-24,ukk4200-23501
24157,2022-03-08,ukk3104-32900
73040,2022-05-21,ukk2204-19900
63306,2021-09-06,ukk2302-35500
61899,2021-08-09,ukj2100-14800
112634,2022-02-10,ukj4210-12450
50137,2020-11-15,ukk2206-20500
12000,2021-02-23,ukc2204-05400
17273,2021-07-01,ukd1101-46300
81827,2022-10-15,ukj4210-12800
35251,2020-01-15,ukk2204-20100
58128,2021-06-02,ukh3100-11800
47555,2020-09-13,ukj2205-14200
111858,2021-01-01,ukk4200-23200
16794,2021-06-18,ukk3106-28000
47274,2020-09-06,ukk3101-26900
51832,2021-02-08,ukk2204-19600
30537,2022-08-11,ukj4210-12700
80378,2022-09-21,ukk2204-19700
98303,2022-04-09,ukk4306-22700
68466,2022-02-01,ukk3106-32320
61320,2021-07-30,ukk4301-21900
99024,2022-05-24,ukk3104-33700
96396,2021-12-02,ukj4208-13400
55382,2021-04-19,ukk4305-25300
59999,2021-07-06,ukk3106-32330
48152,2020-09-24,ukk3106-27600
68834,2022-02-17,ukj2202-14150
81062,2022-10-01,uke2206-07600
89719,2020-11-15,ukd1103-44800
12437,2021-03-08,ukk3106-28000
83647,2022-11-30,ukk2201-17200
182,2020-01-15,ukd1103-45600
73127,2022-05-22,ukk4304-34600
22201,2021-11-22,ukh1407-10850
